iata,name,city,state,country
OCA,Ocean Reef Club Airport,Key Largo,Florida,US
CYT,Yakataga Airport,Yakataga,Alaska,US
FWL,Farewell Airport,Farewell,Alaska,US
CSE,Crested Butte Airpark,Crested Butte,Colorado,US
CUS,Columbus Municipal Airport,Columbus,New Mexico,US
JCY,Lbj Ranch Airport,Johnson City,Texas,US
ICY,Icy Bay Airport,Icy Bay,Alaska,US
HGZ,Hog River Airport,Hogatza,Alaska,US
GWV,Fokker Field,Bush,Louisiana,US
BYW,Blakely Island Airport,Blakely Island,Washington,US
DRF,Drift River Airport,Kenai,Alaska,US
BDF,Rinkenberger Airport,Bradford,Illinois,US
CTO,Calverton Executive Airpark,Calverton,New York,US
RFK,Rollang Field,Rolling Fork,Mississippi,US
BCS,Southern Seaplane Airport,Belle Chasse,Louisiana,US
CWS,Center Island Airport,Center Island,Washington,US
DUF,Pine Island Airport,Corolla,North Carolina,US
SSW,Stuart Island Airpark,Stuart Island,Washington,US
FOB,Fort Bragg Airport,Fort Bragg,California,US
MHN,Hooker County Airport,Mullen,Nebraska,US
AXB,Maxson Airfield,Alexandria Bay,New York,US
REE,Reese Airpark,Lubbock,Texas,US
CEX,Chena Hot Springs Airport,Chena Hot Springs,Alaska,US
SOL,Solomon State Field,Solomon,Alaska,US
HED,Herendeen Bay Airport,Herendeen Bay,Alaska,US
TWE,Taylor Airport,Taylor,Alaska,US
LNI,Lonely Air Station,Lonely,Alaska,US
CDL,Candle 2 Airport,Candle,Alaska,US
BSW,Boswell Bay Airport,Boswell Bay,Alaska,US
SRF,San Rafael Airport,San Rafael,California,US
PYS,Paradise Skypark Airport,Paradise,California,US
HPV,Princeville Airport,Hanalei,Hawaii,US
AMK,Animas Air Park,Durango,Colorado,US
BDX,Broadus Airport,Broadus,Montana,US
EUE,Eureka Airport,Eureka,Nevada,US
KPT,Jackpot/Hayden Field,Jackpot,Nevada,US
PQS,Pilot Station Airport,Pilot Station,Alaska,US
FID,Elizabeth Field,Fishers Island,New York,US
RTL,Spirit Lake Municipal Airport,Spirit Lake,Iowa,US
HUD,Humboldt Municipal Airport,Humboldt,Iowa,US
TWD,Jefferson County International Airport,Port Townsend,Washington,US
MVM,Kayenta Airport,Kayenta,Arizona,US
HCC,Columbia County Airport,Hudson,New York,US
AHD,Ardmore Downtown Executive Airport,Ardmore,Oklahoma,US
GCW,Grand Canyon West Airport,Peach Springs,Arizona,US
KKK,Kalakaket Creek Air Station,Kalakaket Creek,Alaska,US
CKE,Lampson Field,Lakeport,California,US
ROF,Montague-Yreka Rohrer Field,Montague,California,US
MHS,Dunsmuir Municipal-Mott Airport,Dunsmuir,California,US
PLY,Plymouth Municipal Airport,Plymouth,New Hampshire,US
PGC,Grant County Airport,Hyannis,Nebraska,US
CNE,Fremont County Airport,Canon City,Colorado,US
LVD,Lime Village Airport,Lime Village,Alaska,US
NWH,Parlin Field,Newport,New Hampshire,US
IRB,Iraan Municipal Airport,Iraan,Texas,US
ODM,Garrett County Airport,Oakland,Maryland,US
TLF,Telida Airport,Telida,Alaska,US
GNF,Gansner Field,Quincy,California,US
CHZ,Chiloquin State Airport,Chiloquin,Oregon,US
LTW,St Mary's County Regional Airport,Leonardtown,Maryland,US
USC,"Union County, Troy Shelton Field",Union,South Carolina,US
